Nota;HaQuantoTempo;TipoRefeicao;Preco;Comentario;Comida;Serviço;Ambiente;Barulho;TamGrupo;Espera;PratosRecomendados;Estacionamento;Acessibilidade;Assento;Evento
5;5 meses atrás;Café da manhã;R$ 60–80;essa cafeteria é bem requisitada na liberdade, fui sábado de manhã bem cedo já estava bem cheia, com fila pra entrar e fazer o pedido, mas não achei demorado, a fila andou rápido, você só precisa saber o que pedir pra não demorar o prox atendimento, minha dica é: quando você entrar, olhar as opções e já grava as que você quer, pra quando for pedir, ser rapidinho.eu pedi uma torrada de presunto parma e queijo de burrata, é uma opção gelada e estava maravilhoso, acompanhado de um capuccino gelado que é meu favorito e um macarrom de maracujá do pikachu, ele simplesmente derretia na boca.tudo uma delícia!eu adorei conhecer, achei a decoração lindíssima e a vitrine deles mt bem recheada, vale super a pena a visita!;5;5;5;Nível moderado de barulho;;Até 10 minutos;;;;;
3;um mês atrás;;;Bom, fui em um dia que o café estava muuuuito cheio, por conta da feirinha da Liberdade. A comida é muito boa, pedimos uns bolinhos e um chocolate quente.Achei meio confuso o sistema de pedidos, não sei se é assim todos os dias, mas tivemos que pegar uma fila para pedir comida e depois outra pra bebida.;5;5;3;;;;;;;;
4;5 meses atrás;Brunch;R$ 40–60;Fui nessa cafeteria recentemente, em uma quinta-feira à tarde, e gostei bastante da experiência em vários aspectos. Experimentei uma empada de frango, uma choux de baunilha e um croissant de chocolate tudo estava muito gostoso!Pontos positivos: o cardápio é variado, os doces têm ótima qualidade e sabor marcante.Pontos a melhorar: estava muito calor dentro da loja, o ar-condicionado parecia não dar conta. Além disso, os banheiros estavam bem sujos, foi impossível usar. Fui com uma bebê e, infelizmente, não havia trocador para poder trocar minha filha.Se em uma quinta-feira à tarde já estava tão cheio e abafado, imagino que no final de semana deve ser quase impossível entrar no local. Se fosse um espaço menos movimentado ou melhor ventilado, com banheiros limpos, acredito que seria uma experiência fantástica.Ainda assim, recomendo para quem quiser provar bons doces, seria bom que esses pontos sejam ajustados;5;3;3;Nível alto de barulho, mas ainda é possível conversar;2 pessoas;;;;;;
5;um mês atrás;Café da manhã;R$ 20–40;It was crowded. Probably because it's Saturday?Anyway, so many cute foods 😍 and not only cute, it really taste yummy 🥰 my daughter and i will come back here again to try other sweets ❤️;5;5;5;Nível moderado de barulho;;Sem espera;;;;;
4;4 meses atrás;;R$ 40–60;Apesar das filas em dias de pico vale a pena a espera! o chocolate italiano é incrível. Tem opção de soda italiana sem açúcar. Tudo feito com muito capricho e delicioso, cafés com sabor e confeitaria bem diversificada;5;4;4;Nível moderado de barulho;;Até 10 minutos;;;;;
5;5 meses atrás;Outro;R$ 40–60;minha cafeteria preferida enquanto estive em SP. tudo que eu pedi foi gostoso, exceto o melon pan… achei super básico e um gosto artificial, sabe? gosto de balinha ice kiss de melão. massssss, todo o resto vale a pena!!!! os salgados são deliciosos, os bolos, tudo! fui 2 vezes durante 7 dias. enfim, voltaria pra SP só por ela. recomendo o roll de calabresa… delicioso!;5;5;3;Nível alto de barulho, mas ainda é possível conversar;;Até 10 minutos;;;;;
5;2 meses atrás;Café da manhã;R$ 40–60;O ambiente é super aconchegante, daquele tipo que dá vontade de sentar sem pressa e aproveitar cada detalhe( não esquece de ir no ultimo andar). O local tem um clima acolhedor, perfeito pra uma pausa no meio do dia.A comida estava simplesmente maravilhosa! Pedi uma torta folheada que estava perfeita — massa leve, crocante, cheia de sabor — e um pão de queijo quentinho, macio.E o cappuccino… maravilhoso! Cremoso, equilibrado, uns dos melhores que já provei.Com certeza um lugar que dá vontade de voltar, e voltarei 💛☕;5;5;5;Silencioso, fácil de conversar;;Até 10 minutos;;;;;
4;6 meses atrás;Café da manhã;R$ 40–60;Tive a oportunidade de visitar a cafeteria em um domingo de manhã e estava bem movimentada. O sistema de atendimento, direciona para que os clientes peguem uma fila para escolher os alimentos e outra fila para as bebidas. Esse forma parece ter sido pensada para agilizar os pedidos, mas acaba gerando mais filas e um certo desconforto.Optei por um croissant com cheddar e um mocha, e ambos estavam deliciosos. No entanto, o ambiente agitado foge um pouco da proposta de uma cafeteria tradicional, onde se espera um espaço tranquilo para comer e conversar. Isso pode impactar a experiência de quem busca um momento mais calmo. Acredito que em dias da semana menos movimentados a atmosfera seja mais agradável.Por outro lado, os doces são realmente impressionantes e a vitrine é de dar água na boca, mostrando o cuidado na elaboração. É um lugar que vale a visita, mas talvez seja melhor escolher um horário menos movimentado para aproveitar ao máximo.;4;4;3;Nível moderado de barulho;;De 10 a 30 min;;;;;
5;3 semanas atrás;;;Gostei de tudo, mas o que eu mais quero elogiar é o cuidado com o meio ambiente. Um exemplo pra todos imitarem: potes de vidro, talheres de madeira... tudo bioecologicamente correto. Parabéns!;5;5;5;;;;;;;;
5;3 meses atrás;Brunch;R$ 20–40;Adorei o atendimento muito simpáticos doces e lanches são muito bonitos gostosos bem e diferente  do normal ... Um ambiente climatizado todo ambiente é limpo e parece bem organizado, pedimos dois 3 doces diferentes e estavam todos deliciosos recomendo .;5;5;5;Nível moderado de barulho;1 pessoa, 2 pessoas, De 3 a 4 pessoas, De 5 a 8 pessoas;;;;;;
5;um mês atrás;Café da manhã;R$ 180–200;Acredito que o espaço poderia ser um pouco mais amplo, tinham pessoas em pé aguardando lugar para sentar, mas de restante tudo muito bom , os doces, salgados muito gostoso mesmo.;5;5;4;Silencioso, fácil de conversar;;;;;;;
4;4 meses atrás;R$ 40–60;;"Gosto das sugestões que os funcionários dão com base no que você quer experimentar, sabem descrever bem e com base nisso, podemos saber se é aquilo que efetivamente queremos.O ambiente não considero tão calmo; não é exatamente o tipo de lugar para sentar e ter um momento 100% tranquilo, ao meu ver. Transmite um pouco da correria de SP.Mas o café gelado compensa qualquer coisa, que delícia! Indispensável para quem aprecia esse tipo de bebida.Os macarons, por outro lado, deixaram a desejar. Pareciam estar há algum tempo na vitrine, o que afetou a textura e o sabor.";4;5;4;Nível alto de barulho, mas ainda é possível conversar;1 pessoa, 2 pessoas, De 3 a 4 pessoas;;;;;;
5;4 meses atrás;Café da manhã;;Gostei bastante e já estou me programando pra voltar!Fui em um sábado de manhã e estava super lotado mas super rolou comer tranquilo. Comidas gostosas de comer com os olhos ✨;5;4;5;;;Até 10 minutos;;;;;
5;2 meses atrás;R$ 80–100;;Chegamos por volta das 8h40, existe uma fila para doces e salgados e outra para bebidas! Atendimento muito rápido, tudo muito delicioso!;5;5;5;Nível moderado de barulho;Adequado para grupos de todos os tamanhos;;;;;;
5;5 meses atrás;Outro;R$ 40–60;Ambiente muito bonito e aconchegante, porém cheio e confuso na hora de fazer o pedido, o cake de oreo não estava muito saboroso, um pouco sem gosto, mas o capuccino gelado estava uma delicia. Adorei a decoração e a proposta da cafeteria, vitrine impecável também... Recomendo;3;4;5;;;;;;;;
5;4 meses atrás;R$ 40–60;;Como eu gosto da 89° se pudesse iria sempre, mas sempre que dá estou lá, essa cafeteria é parada obrigatória na liberdade 🥰As comidas e bebidas são tudo gostosas e bem frescas, apesar de sempre ter fila eu recomendo, pois a variedade de coisas é muito grande e sempre dá pra pedir coisas diferentes tanto doces quanto salgado.O Karê pan é o melhor que já comi na vida 😋;5;5;5;Nível moderado de barulho;;;;;;;
5;2 meses atrás;;;Café “preto e passado” de qualidade, na regiao foi o melhor que tomei. sanduíche de lombo com misô estava bom também, a choux estava Ok, pegamos de matcha para experimentar mas nao somos muitos fãs mas ruim nao estava.;5;5;4;;;;;;;;
5;6 meses atrás;Café da manhã;R$ 120–140;Uma cafeteria bem localizada, com atendimento cordial e opções deliciosas.Chegamos por volta de 09:00 em um sábado e já tinha fila, acredito que aguardamos por uns 10 minutos. Ao entrar a gente pega outra fila para pedir o que comer e depois outra fila para pedir a bebida, mas é super rápido.Um estilo de cafeteria diferenciado, não é aquelas pra ir e sentar na mesa tranquilamente, olhar o cardápio e ir escolhendo com calma, o pessoal já sai pedindo tudo de uma vez pra não ter que voltar na fila novamente. Eu já fui de semana e achei um pouco mais tranquilo. Mas vale super a pena, tudo muito delicioso.;5;5;5;Nível alto de barulho, mas ainda é possível conversar;;;;;;Área de refeições coberta;
5;3 meses atrás;Café da manhã;R$ 60–80;Excelente! Muitas opções no cardápio/vitrine e tudo muito saboroso. Apesar de ter fila o atendimento é muito rápido e os atendentes pacientes, educados e simpáticos! Local limpo e super agradável. Super indico!;5;5;5;Silencioso, fácil de conversar;;Até 10 minutos;;;;;
5;7 meses atrás;R$ 40–60;;Costuma ser beeeeem cheia e bem concorrida, mas vale o hype! Não consegui provar tantas coisas, mas tenho a impressão que tudo é muito bem feito! Pedimos um café, impecável, inclusive. Além do café, provamos a choux cream de matcha e uma generosa fatia de uma torta de amendoim. Quero voltar mais vezes!;5;5;5;Silencioso, fácil de conversar;De 3 a 4 pessoas;;;;;;
4;3 meses atrás;;;"Acho essa cafeteria diferenciada por seus doces e salgados “estilosos”, mas, na minha opinião, superestimada… os sanduíches são bonitos, os doces, bonitos, mas falta um plus, um gosto especial e marcante, pelo preço que é cobrado. Dou um exemplo: o tiramissú estava sem gosto e muito fluido; faltou algo mais cremoso e encorpado. E o sistema de pedir em um lugar, pegar em outro, bebida em outro… cansa.";3;3;4;;;;;;;;
4;6 meses atrás;R$ 60–80;;"Basicamente uma cafeteira hypada, vale a pena?Se você estiver passeando pela liberdade, e nunca foi, eu recomendo conhecer sim, mas não é um rolê de sempre que eu particularmente iria.Basicamente um café ""superfaturado""e hypada, mas eu recomendo. Tudo que comemos estava gostoso, (exceto o bolo de Oreo que eu achei nada demais) mas tinha bastante fila e estava bem cheio.";4;4;4;;Adequado para grupos de todos os tamanhos;De 30 a 60 min;;;;;
2;3 meses atrás;Café da manhã;R$ 180–200;Pode parecer bem estereotipado meu comentário.Pode ser o procedimento generalizado de culturas asiáticas ou por ser capital e cidade grande. Achei uma logística horrível. A fila de atendimento é em frente a vitrine, isso atrapalha a escolha do pedido.Os cafés e a torta de matcha foram sem graça...;4;3;4;Nível moderado de barulho;;Até 10 minutos;;;;;
5;3 meses atrás;Brunch;R$ 20–40;Um lugar sem erro é a 89, sobremesas e salgados deliciosos. Atendimento ótimo,  apesar de muito movimento é tudo bem rápido. Fui 3 vezes durante a viagem 🥰🥰❤️;5;5;5;;;Sem espera;;;;;
5;9 meses atrás;Brunch;R$ 40–60;Fui com uma amiga em uma terça-feira e era por volta das 11:00, estava com um volume normal de pessoas. O ambiente é muito bonito e acolhedor, sentamos no segundo andar que acaba ficando mais vazio do que o primeiro, trazendo um pouco de privacidade.A respeito da comida, eu pedi um croissant de atum e ela de salame, ambos saborosos e um folhado extremamente macio e saboroso, mesmo sabendo que é mais gorduroso por conta do preparo, não fica gorduroso na mão, igual outros que já comi! O de atum me surpreendeu demais demais!Além disso pedi um new york roll de nutella e ela um donuts de açúcar e canela, amamos também! O NYroll é bem recheado e o folhado uma delícia e ela gostou muito da massa do donuts.Ambas pediram soda italiana, aqui foi decepcionante kkk tinha mais água com gás do que essência, então foi bem chocho, nos arrependemos de ter pego, teríamos trocado por cafe, mesmo que se tornasse uma segunda dose de café no dia kkk pq café é café!Realmente, os pedidos são feitos por etapa:1ª fila: Pede o que vai comer2ª fila: Pede o que vai beberFora isso, nossa experiência foi muito agradável, e sem dúvidas voltaria, mas só durante a semana mesmo pra conseguir aproveitar a experiência sem estresse kkk de final de semana deve ser UÓ, pq o ambiente não é tão amplo assim e a parte inicial da cafeteria é curta, então fica lotação máxima em segundos.;5;5;5;Silencioso, fácil de conversar;;Sem espera;;;;;
5;4 meses atrás;R$ 60–80;;A dinâmica deles não é muito prática, mas funciona pro tanto de clientes que eles atendem por dia! Mas tudo o que comemos lá é maravilhoso!!!;5;3;3;;2 pessoas;De 10 a 30 min;;;;;
5;6 meses atrás;Outro;R$ 60–80;Lugar bonito apesar de estar sempre lotado, uma variedade de comidas, muitas opções de doces. Já fizemos algumas visitas e ja experimentamos várias sobremesas, se for uma primeira visita recomendo o croassant de mascarpone com morango, sobremesa leve e gostosa. Mas todas são muito bem feitas, por ser um lugar bastante conhecido provavelmente terá uma fila, mas vale a espera;5;5;5;Nível moderado de barulho;;De 10 a 30 min;;;;;
4;5 meses atrás;Café da manhã;R$ 80–100;Muito demorado a fila pra entrar aos domingos de manhã! Doces maravilhosos! Perfeito! Ambiente agradável! Atendimento muito bom!!- Fila do caixa enorme e demorada e pra pedir e pegar o pedido também!;5;4;5;;;De 30 a 60 min;;;;;
5;Editado 3 meses atrás;;;Fui em dois dias, no sábado e domingo. Os dois dias muito cheios, mas no domingo consegui sentar. O cardápio chama atenção pelo visual, mas também pelo sabor. O lanche de frango defumado é muito gostoso. O crepe com cobertura de chocolate com um pretezel pequeno no topo é sensacional. Faço ressalva no capuccino gelado, muito gelo pouca bebida e o chantili com um gosto diferente, parecia velho. Sugiro não ir nesses dias. Já passei em frente durante a semana, que é mais tranquilo e da pra levar a familiar e curtir bastante.#dia 23.12# vazio, consegui lugar pra sentar e provei a coxinha de shimeji, super recomendo. O cookie de chocolate muito doce e pouco crocante (*padrão?). E por último o lanche de frango com tomate e queijo é perfeito.;5;5;5;;;;;;;;
3;6 meses atrás;;;Tudo tem uma cara ótima na vitrine, mas cuidado! Na vitrine havia uma banoffee linda, mas quado fui comer, não havia nada de banoffee, nem no sabor nem na textura, parecia mais com um bolo de aveia com chantili, nao encontrei o doce de leite, não encontrei nem a banana, ou seja, não era uma banofeee, e além disso era muito ruim. Pedi um chocolate gelado, esse estava bom. A decepção maior foi no pagamento. Tenho sempre o hábito de pedir para emitir a nota fiscal e quando fui conferir os itens após o pagamento, bingo!!!! Estavam me cobrando 24,00 a mais por um item que eu nao consumi, voltei no caixa, chamei a supervisora e ela prontamente me devolveu a diferença em dinheiro e pediu desculpas.;2;2;2;;;;;;;;
5;9 meses atrás;Café da manhã;R$ 60–80;Muito cheio quando fui tomar café da manhã por volta das 8-9h, mas muito gostoso, valeu muito a pena. A fila não demorou muito e o pedido tbm ficou pronto rápido. E ainda tinha lugar pra sentar, não precisei segurar mesa. Tudo muito delicioso, só os bolos que minhas amigas compraram não gostei tanto. Meu pedido estava perfeito: New York roll que nem aguentei comer na hora, chocolate italiano (muuuito cremoso) com marshmallow e sanduíche de atum empanado com purê e queijo (tinha um nome japonês mas não me lembro);5;4;4;;De 3 a 4 pessoas;Sem espera;;;;;
4;2 meses atrás;;R$ 80–100;Um local com doces e salgados únicos, uma experiência que deve ser feita uma vez, valores um pouco superfaturados, porém valeu a pena pela experiência.;4;4;4;Nível alto de barulho, mas ainda é possível conversar;;;;;;;
5;8 meses atrás;R$ 60–80;;"Fui com meu namorado domingo pela manhã. Tem fila para entrar e para fazer o pedido, mas nada que leve horas.Pedimos o chocolate quente e o chocolate italiano, são bons, mas levam chocolate meio amargo. O italiano é denso como chocilate derretido e vem num copo comestível. Também pedimos os itens das fotos.Os sabores são bem suaves, então se você gosta de coisas com bastante açúcar, não recomendo os itens que pedi.A torta de banana é um pouco seca e tem o sabor de banana beeem suave; o croissant de amendoas é muito bom, mas de novo, tem sabor leve; o choux cream é bem gostosinho e suuuper recheado, o creme é doce sem ser enjoativo (peguei o de vanilla); o tost de parma é bem saboroso, pegaria de novo; não lembro o valor do cinnamom de pistache, mas o sabor de chocolate branco é mais marcante que o pistache; e o katsu sando de milanesa suína... meu deus! Que coisa mais gostosa! Comeria sempre se possível.Os funcionários são simpáticos e solícitos, oferecem um bom atendimento e tentam manter o ambiente limpo e organizado.Pontos negativos, só tem um banheiro e é uma luta pra usar ele, pois a fila é enorme.Não é acessível para pessoas com carrinho de bebê, locomoção reduzida ou pcd visual sem acompanhante.";5;5;5;Nível moderado de barulho;De 5 a 8 pessoas;;;;;;
5;3 meses atrás;Café da manhã;R$ 40–60;Eu amei! Vale super a pena! Custo acessível, ambiente agradável, comida deliciosa! Melhor cafeteria da Liberdade.;5;5;5;Nível moderado de barulho;De 3 a 4 pessoas;;;;;;
5;6 meses atrás;;;O que falar da 89ºC?Todos os finais de semana estou na Liberdade e se eu não comer uma coxinha de F. Catupiry de nada valeu.Tem fila prá entrar, prá escolher o produto, para pagar temmmm... Mas vale muito a pena a experiência.Não sou fã dos doces apesar de parecerem jóias, por não terem o adocicado que eu gosto.Mas vale a pena provar!;5;5;5;;;;;;;;
